ID,deposits,deposit_amount,withdrawals,withdrawal_amount,declines,biggest_deposit,deposit_amount_variance,withdrawal_amount_variance,nightdeposits,activeweeks,activemonths,propnight,intensity,netloss,logdeclines
customer1,445,34060,2,600,0,200,1418.064328,0,16,38,12,0.035955056,11.71052632,33460,0
customer10,1138,32282,0,0,37,109,193.2932841,0,231,52,12,0.202987698,21.88461538,32282,3.63758616
customer100,56,1639,0,0,0,50,84.56331169,0,19,11,6,0.339285714,5.090909091,1639,0
customer1000,2,200,0,0,0,100,0,0,0,1,1,0,2,200,0
customer1001,23,689,0,0,0,50,189.5889328,0,1,15,7,0.043478261,1.533333333,689,0
customer1002,6,195,0,0,0,45,107.5,0,1,2,2,0.166666667,3,195,0
customer1003,2,81,0,0,0,50,180.5,0,2,2,1,1,1,81,0
customer1004,1,50,0,0,0,50,0,0,1,1,1,1,1,50,0
customer1006,3,50,0,0,0,25,58.33333333,0,0,3,3,0,1,50,0
customer1007,2,225,0,0,0,125,312.5,0,0,2,1,0,1,225,0
customer1008,1,10,0,0,0,10,0,0,0,1,1,0,1,10,0
customer1009,1,250,0,0,0,250,0,0,1,1,1,1,1,250,0
customer101,65,10698,0,0,4,400,9800.746635,0,9,10,4,0.138461538,6.5,10698,1.609437912
customer1010,6,186.83,0,0,0,40,21.15625667,0,0,1,1,0,6,186.83,0
customer1011,1,100,0,0,0,100,0,0,0,1,1,0,1,100,0
customer1012,5,220,0,0,0,50,180,0,1,3,1,0.2,1.666666667,220,0
customer1013,14,319,0,0,0,59,231.7197802,0,3,11,8,0.214285714,1.272727273,319,0
customer1014,9,90,0,0,1,2000,0,0,2,8,3,0.222222222,1.125,90,0.693147181
customer1015,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1016,6,920,0,0,0,320,1066.666667,0,0,3,1,0,2,920,0
customer1017,4,100,0,0,0,50,300,0,2,2,1,0.5,2,100,0
customer1018,1,25,0,0,0,25,0,0,0,1,1,0,1,25,0
customer1019,4,1800,0,0,0,500,10000,0,0,1,1,0,4,1800,0
customer102,186,4760.27,2,895.66,7,382,84.42903778,182613.4178,63,18,7,0.338709677,10.33333333,3864.61,2.079441542
customer1020,15,3400,0,0,0,500,10666.66667,0,2,3,1,0.133333333,5,3400,0
customer1021,1,250,0,0,0,250,0,0,0,1,1,0,1,250,0
customer1022,1,10,0,0,0,10,0,0,1,1,1,1,1,10,0
customer1023,14,500,0,0,0,50,191.7582418,0,1,4,2,0.071428571,3.5,500,0
customer1024,2,25,0,0,0,15,12.5,0,0,1,1,0,2,25,0
customer1025,4,70,0,0,0,20,25,0,0,1,1,0,4,70,0
customer1026,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1027,2,100,0,0,0,50,0,0,0,1,1,0,2,100,0
customer1028,3,30.1,3,30.1,0,0,0.003333333,0.003333333,0,2,1,0,1.5,0,0
customer1029,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
